Id,Name
146,Количество комнат
147,Общая площадь
148,Площадь кухни
149,Этаж
150,Тип комнат
151,Санузел
152,Окна
153,Ремонт
154,Мебель
155,Способ продажи
156,Вид сделки
157,Тип дома
158,Год постройки
159,Этажей в доме
160,Пассажирский лифт
161,Грузовой лифт
162,В доме
163,Парковка
164,Площадь дома
165,Площадь участка
166,Категория земель
167,Материал стен
168,Расстояние от МКАД
169,Жилая площадь
170,Терраса или веранда
171,Электричество
172,Водоснабжение
173,Газ
174,Канализация
175,Балкон или лоджия
176,Расстояние до центра города
177,Отопление
178,Интернет и ТВ
179,Инфраструктура
180,Залог
181,Комиссия
182,По счетчикам
183,Другие ЖКУ
184,Можно с детьми
185,Можно с животными
186,Можно курить
187,Площадь комнаты
188,Расположение
189,Высота потолков
190,Техника
191,Двор
192,Количество гостей
193,Транспортная доступность
194,Площадь
195,Комнат в квартире
196,Тип машиноместа
197,Охрана
198,Вход
199,Отделка
200,Тип сделки
201,Готовность
202,Тип здания
203,Отдельный вход
204,Для отдыха
205,Тип гаража
206,Кровати
207,Комфорт
208,Возможна помесячная аренда
209,Заезд после
210,Выезд до
211,Разрешены вечеринки
212,Есть отчётные документы
213,Дополнительно
214,Тёплый пол
215,Коммуникации
216,Название новостройки
217,"Корпус, строение"
218,Тип участия
219,Срок сдачи
220,Тип аренды
221,Арендные каникулы
222,Минимальный срок аренды
223,Количество парковочных мест
224,Удалённость от дороги
225,Аренда части
226,Платежи включены
227,Страна
228,Город
229,Срок аренды
230,"Площадь, м²"
231,Количество санузлов
232,Лифт
233,Вид из окон
234,Во дворе
235,"До аэропорта, км"
236,"До водоёма, м"
237,Разрешены вечеринки и мероприятия
238,Право на ВНЖ
239,Условия покупки
240,Онлайн-показ
241,Мощность электросети
242,Арендаторы
243,Планировка
244,Класс здания
245,Расстояние от КАД
246,Размер комиссии
247,"Площадь участка, м²"
248,Инвестиции
249,Удобства
