Value,RealEstateProperiesDictionaryId
3,146
2,146
студия,146
5,146
4,146
1,146
6,146
свободная планировка,146
7,146
10 и больше,146
Свободная планировка,146
59 м²,147
17 м²,147
109 м²,147
50 м²,147
64.9 м²,147
31 м²,147
90 м²,147
252.8 м²,147
112.3 м²,147
38 м²,147
98 м²,147
90.3 м²,147
60 м²,147
34 м²,147
40.5 м²,147
39.5 м²,147
31.8 м²,147
41.3 м²,147
67.8 м²,147
45 м²,147
70 м²,147
54 м²,147
42 м²,147
36 м²,147
38.6 м²,147
68 м²,147
73 м²,147
42.9 м²,147
28 м²,147
40 м²,147
20 м²,147
21 м²,147
32 м²,147
84 м²,147
66.8 м²,147
6238.7 м²,147
650 м²,147
49.6 м²,147
61.7 м²,147
58.6 м²,147
56.8 м²,147
63 м²,147
35 м²,147
36.8 м²,147
63.9 м²,147
22.5 м²,147
38.3 м²,147
388.9 м²,147
65 м²,147
100 м²,147
56.4 м²,147
22 м²,147
28.6 м²,147
96.5 м²,147
20.5 м²,147
110 м²,147
61.6 м²,147
82.6 м²,147
108 м²,147
64 м²,147
53 м²,147
44.7 м²,147
66.7 м²,147
41.2 м²,147
90.2 м²,147
79.9 м²,147
34465 м²,147
43.7 м²,147
24 м²,147
61 м²,147
130 м²,147
34.4 м²,147
42.2 м²,147
54.4 м²,147
75 м²,147
1300 м²,147
180 м²,147
150 м²,147
44.5 м²,147
42.7 м²,147
47.1 м²,147
42.6 м²,147
36.9 м²,147
48 м²,147
42.1 м²,147
37.1 м²,147
25 м²,147
13 м²,147
27 м²,147
42.8 м²,147
29 м²,147
14 м²,147
21.4 м²,147
24.1 м²,147
80 м²,147
73.8 м²,147
52.6 м²,147
50.2 м²,147
29.4 м²,147
57.2 м²,147
50.5 м²,147
43.8 м²,147
44 м²,147
18 м²,147
106 м²,147
32.2 м²,147
57.1 м²,147
58 м²,147
30.5 м²,147
49.2 м²,147
92 м²,147
62 м²,147
52.5 м²,147
39.2 м²,147
30 м²,147
43.5 м²,147
37.3 м²,147
64.6 м²,147
31.5 м²,147
39 м²,147
47.8 м²,147
55.2 м²,147
39.8 м²,147
26.8 м²,147
31.6 м²,147
57 м²,147
32.9 м²,147
37.2 м²,147
52 м²,147
55 м²,147
43 м²,147
34.3 м²,147
40.1 м²,147
48.8 м²,147
51.2 м²,147
47 м²,147
87 м²,147
104 м²,147
51 м²,147
20.8 м²,147
43.9 м²,147
56.1 м²,147
44.8 м²,147
44.4 м²,147
43.1 м²,147
59.8 м²,147
73.6 м²,147
56.7 м²,147
56 м²,147
20.4 м²,147
34.1 м²,147
30.1 м²,147
61.5 м²,147
33.7 м²,147
37.5 м²,147
103.9 м²,147
52.1 м²,147
26.9 м²,147
33 м²,147
37.9 м²,147
30.9 м²,147
55.6 м²,147
160 м²,147
52.8 м²,147
53.5 м²,147
11.9 м²,147
15 м²,147
76.3 м²,147
46.5 м²,147
33.4 м²,147
35.5 м²,147
50.7 м²,147
46 м²,147
41.1 м²,147
35.9 м²,147
29.7 м²,147
39.7 м²,147
36.2 м²,147
78.1 м²,147
47.5 м²,147
38.7 м²,147
118.2 м²,147
45.2 м²,147
59.2 м²,147
93.2 м²,147
25.8 м²,147
101.1 м²,147
38.8 м²,147
35.2 м²,147
45.6 м²,147
40.4 м²,147
45.1 м²,147
67 м²,147
60.1 м²,147
55.4 м²,147
49.1 м²,147
93 м²,147
51.9 м²,147
91 м²,147
56.2 м²,147
40.2 м²,147
40.3 м²,147
39.1 м²,147
35.3 м²,147
49 м²,147
32.8 м²,147
38.9 м²,147
52.3 м²,147
36.7 м²,147
40.6 м²,147
43.3 м²,147
51.4 м²,147
41 м²,147
45.7 м²,147
43.2 м²,147
30.3 м²,147
35.4 м²,147
27.2 м²,147
61.8 м²,147
48.6 м²,147
44.6 м²,147
21.5 м²,147
29.9 м²,147
53.4 м²,147
18.6 м²,147
51.3 м²,147
71 м²,147
42.4 м²,147
63.3 м²,147
33.3 м²,147
38.5 м²,147
13.5 м²,147
83 м²,147
83.4 м²,147
37 м²,147
28.7 м²,147
18.1 м²,147
41.5 м²,147
46.2 м²,147
81.7 м²,147
33.5 м²,147
34.5 м²,147
39.4 м²,147
32.4 м²,147
33.9 м²,147
32.3 м²,147
71.2 м²,147
43.4 м²,147
34.9 м²,147
19 м²,147
24.9 м²,147
53.2 м²,147
44.3 м²,147
21.7 м²,147
58.4 м²,147
80.1 м²,147
32.1 м²,147
34.8 м²,147
40.8 м²,147
45.4 м²,147
37.6 м²,147
42.5 м²,147
75.5 м²,147
65.3 м²,147
19.5 м²,147
41.7 м²,147
21.6 м²,147
47.6 м²,147
23 м²,147
82.2 м²,147
58.3 м²,147
79 м²,147
24.2 м²,147
32.7 м²,147
114 м²,147
148 м²,147
40.9 м²,147
67.2 м²,147
18.2 м²,147
85 м²,147
77.3 м²,147
30.6 м²,147
28.3 м²,147
47.3 м²,147
35.6 м²,147
55.9 м²,147
69.2 м²,147
103 м²,147
60.3 м²,147
36.6 м²,147
21.8 м²,147
57.9 м²,147
82 м²,147
23.4 м²,147
74.7 м²,147
52.2 м²,147
35.1 м²,147
60.5 м²,147
95.5 м²,147
47.2 м²,147
31.2 м²,147
50.4 м²,147
68.6 м²,147
27.5 м²,147
49.4 м²,147
35.7 м²,147
16.5 м²,147
36.3 м²,147
62.1 м²,147
79.3 м²,147
33.2 м²,147
41.4 м²,147
28.9 м²,147
56.6 м²,147
20.2 м²,147
24.4 м²,147
62.6 м²,147
147 м²,147
140 м²,147
15.3 м²,147
88 м²,147
149.5 м²,147
72 м²,147
71.6 м²,147
36.5 м²,147
187.7 м²,147
129.7 м²,147
19.3 м²,147
51.1 м²,147
44.2 м²,147
53.8 м²,147
50.8 м²,147
26.6 м²,147
44.9 м²,147
58.7 м²,147
111.4 м²,147
46.4 м²,147
79.5 м²,147
79.2 м²,147
59.1 м²,147
15.5 м²,147
40.7 м²,147
26 м²,147
41.6 м²,147
14.9 м²,147
76.7 м²,147
127 м²,147
74 м²,147
42.3 м²,147
76 м²,147
34.7 м²,147
79.6 м²,147
69.4 м²,147
77 м²,147
65.8 м²,147
21.3 м²,147
53.9 м²,147
67.7 м²,147
50.3 м²,147
56.3 м²,147
64.5 м²,147
45.3 м²,147
51.5 м²,147
84.8 м²,147
71.4 м²,147
67.9 м²,147
29.8 м²,147
58.8 м²,147
26.3 м²,147
66 м²,147
98.5 м²,147
66.5 м²,147
89.6 м²,147
62.4 м²,147
34.6 м²,147
81.5 м²,147
60.9 м²,147
38.4 м²,147
11.4 м²,147
99.1 м²,147
50.6 м²,147
47.7 м²,147
62.8 м²,147
102.4 м²,147
64.2 м²,147
33.1 м²,147
58.9 м²,147
17.5 м²,147
71.3 м²,147
10 м²,147
18.4 м²,147
17.2 м²,147
25.2 м²,147
96 м²,147
60.2 м²,147
28.5 м²,147
48.4 м²,147
110.8 м²,147
44.1 м²,147
85.5 м²,147
35.8 м²,147
31.1 м²,147
81 м²,147
39.9 м²,147
81.6 м²,147
54.2 м²,147
12.6 м²,147
22.7 м²,147
30.8 м²,147
51.6 м²,147
58.5 м²,147
18.5 м²,147
20.6 м²,147
25.1 м²,147
68.5 м²,147
17.6 м²,147
27.3 м²,147
93.9 м²,147
75.2 м²,147
77.9 м²,147
38.1 м²,147
48.5 м²,147
63.8 м²,147
61.2 м²,147
11.5 м²,147
68.4 м²,147
19.2 м²,147
65.4 м²,147
22.3 м²,147
16.3 м²,147
29.6 м²,147
21.2 м²,147
59.6 м²,147
19.9 м²,147
23.5 м²,147
22.8 м²,147
70.2 м²,147
23.8 м²,147
53.7 м²,147
23.9 м²,147
108.6 м²,147
57.3 м²,147
78.7 м²,147
86.6 м²,147
89.5 м²,147
79.1 м²,147
69.1 м²,147
48.3 м²,147
31.9 м²,147
26.5 м²,147
70.1 м²,147
64.8 м²,147
24.3 м²,147
25.4 м²,147
87.8 м²,147
47.9 м²,147
51.7 м²,147
28.4 м²,147
27.7 м²,147
20.1 м²,147
54.6 м²,147
95.7 м²,147
33.8 м²,147
80.6 м²,147
85.6 м²,147
81.4 м²,147
78.4 м²,147
41.8 м²,147
25.3 м²,147
51.8 м²,147
25.7 м²,147
72.4 м²,147
127.2 м²,147
66.6 м²,147
77.8 м²,147
48.7 м²,147
59.5 м²,147
66.3 м²,147
27.8 м²,147
78.5 м²,147
78.6 м²,147
54.8 м²,147
135 м²,147
96.7 м²,147
97.4 м²,147
50.9 м²,147
107.1 м²,147
22.2 м²,147
69.9 м²,147
30.7 м²,147
22.1 м²,147
22.6 м²,147
48.2 м²,147
36.4 м²,147
46.1 м²,147
58.2 м²,147
106.5 м²,147
22.9 м²,147
46.7 м²,147
98.4 м²,147
67.1 м²,147
78.2 м²,147
62.3 м²,147
37.8 м²,147
59.9 м²,147
99.5 м²,147
68.3 м²,147
87.2 м²,147
73.5 м²,147
107.6 м²,147
63.7 м²,147
49.3 м²,147
48.9 м²,147
87.7 м²,147
96.3 м²,147
64.1 м²,147
91.2 м²,147
80.4 м²,147
6 м²,148
12 м²,148
8 м²,148
10 м²,148
14.5 м²,148
14.6 м²,148
10.3 м²,148
7 м²,148
11 м²,148
21.4 м²,148
14.3 м²,148
5 м²,148
20 м²,148
6.5 м²,148
19.4 м²,148
5.5 м²,148
3.7 м²,148
34 м²,148
9 м²,148
5.6 м²,148
15 м²,148
17.5 м²,148
6.6 м²,148
13 м²,148
14 м²,148
23.3 м²,148
6.4 м²,148
8.9 м²,148
9.1 м²,148
12.8 м²,148
5.4 м²,148
9.2 м²,148
12.7 м²,148
19.8 м²,148
16 м²,148
9.4 м²,148
7.1 м²,148
5.7 м²,148
6.7 м²,148
5.9 м²,148
11.9 м²,148
18 м²,148
16.8 м²,148
10.1 м²,148
9.8 м²,148
8.5 м²,148
9.5 м²,148
6.2 м²,148
17.6 м²,148
4 м²,148
6.3 м²,148
8.4 м²,148
7.5 м²,148
7.2 м²,148
11.5 м²,148
5.3 м²,148
8.8 м²,148
6.8 м²,148
6.9 м²,148
8.7 м²,148
7.8 м²,148
12.5 м²,148
10.7 м²,148
13.4 м²,148
13.1 м²,148
8.6 м²,148
8.3 м²,148
4.3 м²,148
12.6 м²,148
26 м²,148
21 м²,148
9.9 м²,148
9.3 м²,148
13.7 м²,148
9.7 м²,148
30 м²,148
